original	rotation_invariant	minvalue
0	300	0
1	210	1
2	210	1
3	201	3
4	210	1
5	120	5
6	120	5
7	111	7
8	210	1
9	120	5
10	120	5
11	111	7
12	201	3
13	111	7
14	111	7
15	102	15
16	210	1
17	120	5
18	120	5
19	111	7
20	120	5
21	030	21
22	030	21
23	021	23
24	120	5
25	030	21
26	030	21
27	021	23
28	111	7
29	021	23
30	021	23
31	012	31
32	210	1
33	120	5
34	120	5
35	111	7
36	120	5
37	030	21
38	030	21
39	021	23
40	120	5
41	030	21
42	030	21
43	021	23
44	111	7
45	021	23
46	021	23
47	012	31
48	201	3
49	111	7
50	111	7
51	102	15
52	111	7
53	021	23
54	021	23
55	012	31
56	111	7
57	021	23
58	021	23
59	012	31
60	102	15
61	012	31
62	012	31
63	003	63
